
Logging start at : Tue Sep 17 19:41:19 2019

1251	1	0	1	0	0
1288	1	0	1	0	0
1365	1	0	1	0	0
1481	1	0	1	0	0
1560	1	0	1	0	0
1598	1	0	1	0	0
1672	1	0	1	0	0
1789	1	0	1	0	0
1864	1	0	1	0	0
1976	2	0	2	0	0
2051	2	0	2	0	0
2089	2	0	2	0	0
2165	2	0	2	0	0
2279	2	0	2	0	0
2368	2	0	2	0	0
2481	2	0	2	0	0
2554	2	0	2	0	0
2591	2	0	2	0	0
2666	2	0	2	0	0
2778	2	0	2	0	0
2854	2	0	2	0	0
2891	2	0	2	0	0
2965	3	0	3	0	0
3076	3	0	3	0	0
3152	3	0	3	0	0
3190	3	0	3	0	0
3267	3	0	3	0	0
3379	3	0	3	0	0
3456	3	0	3	0	0
3495	3	0	3	0	0
3570	3	0	3	0	0
3657	3	0	3	0	0
3788	3	0	3	0	0
3871	3	0	3	0	0
3952	4	0	4	0	0
3992	4	0	4	0	0
4080	4	0	4	0	0
4157	4	0	4	0	0
4196	4	0	4	0	0
4271	4	0	4	0	0
4399	4	1	0	0	0
4499	4	1	0	0	0
4592	4	1	0	0	0
4685	4	1	0	0	0
4778	4	1	0	0	0
4872	4	1	0	0	0
4965	5	1	1	0	0
5059	5	1	1	0	0
5156	5	1	1	0	0
5895	5	1	2	99	0
5987	6	1	2	99	0
6081	6	1	2	99	0
6177	6	1	2	99	0
6272	6	1	2	99	0
6383	6	1	2	99	0
6478	6	1	2	99	0
6580	6	1	2	99	0
6680	6	1	2	99	0
6773	6	1	2	99	0
6866	6	1	2	99	0
6960	7	1	3	99	0
7052	7	1	3	99	0
7894	7	1	4	99	0
7987	8	1	4	99	0
8079	8	1	4	99	0
8379	8	1	4	99	0
8691	8	1	4	99	0
9179	9	1	5	99	0
9496	9	1	5	99	0
9652	9	1	5	99	0
9966	10	1	6	99	0
10283	10	1	6	0	0
10454	10	1	6	0	0
10768	10	3	1	0	0
11073	11	3	1	0	0
11354	11	3	1	83	99
11661	11	3	1	67	99
13399	13	3	3	90	99
13680	13	3	4	99	99
13992	14	3	4	99	99
14282	14	3	4	99	99
14581	14	3	4	0	0
14862	14	3	5	0	0
15699	15	3	5	0	-99
15966	16	3	6	0	-99
16259	16	3	6	0	-99
17078	17	3	7	0	-99
17889	17	3	8	0	-99
18156	18	3	8	0	-99
18699	18	3	8	0	-99
18964	19	3	9	0	-99
20081	20	3	10	0	0
20362	20	3	10	0	0
21498	21	8	0	99	0
21781	21	8	1	99	0
22093	22	8	1	99	0
22381	22	8	1	99	0
22664	22	8	1	99	0
22955	23	8	2	99	0
24089	24	8	3	99	0
24370	24	8	3	99	0
24656	24	8	3	99	0
26093	26	8	5	99	-17
26390	26	8	5	99	-27
26682	26	8	5	99	-27
26963	27	8	6	99	-27
29298	29	8	8	99	-28
29580	29	8	8	99	-28
29878	29	8	9	99	-28
30159	30	8	9	99	-28
30757	30	8	10	99	-52
31351	31	8	10	0	0
31663	31	8	10	0	0
31951	32	1	0	0	0
32281	32	1	0	0	0
32594	32	1	0	-99	0
33071	33	1	1	-99	0
33568	33	1	1	-99	0
33890	33	1	2	-99	0
34375	34	1	2	-99	0
34691	34	1	2	-99	0
35162	35	1	3	-99	0
35657	35	1	3	-99	0
35981	36	1	4	-99	0
36153	36	1	4	-99	0
36499	36	1	4	-99	0
36655	36	1	4	-99	0
36983	37	1	5	-99	0
37152	37	1	5	-99	0
37465	37	1	5	-99	0
37990	38	1	6	-99	0
38472	38	1	6	-99	0
38794	38	1	6	-99	0
38952	39	1	7	-99	0
39280	39	1	7	-99	0
39452	39	1	7	-99	0
39764	39	1	7	-99	0
40259	40	1	8	-99	0
40587	40	1	8	-99	0
40759	40	1	8	-99	0
41071	41	1	9	-99	0
41559	41	1	9	0	0
41893	41	1	10	0	0
42065	42	1	10	0	0
42383	42	1	10	0	0
42697	42	1	10	0	0
42863	42	1	11	0	0
43193	43	1	11	0	0
Logging start at : Tue Sep 17 19:42:13 2019

1173	1	0	1	0	0
1267	1	0	1	0	0
1360	1	0	1	0	0
1453	1	0	1	0	0
1593	1	0	1	0	0
1673	1	0	1	0	0
1767	1	0	1	0	0
1881	1	0	1	0	0
1975	1	0	1	0	0
2070	2	0	2	0	0
2163	2	0	2	0	0
2257	2	0	2	0	0
2392	2	0	2	0	0
2486	2	0	2	0	0
2595	2	0	2	0	0
2690	2	0	2	0	0
2785	2	0	2	0	0
2878	2	0	2	0	0
2972	2	0	2	0	0
3082	3	0	3	0	0
3174	3	0	3	0	0
3268	3	0	3	0	0
3362	3	0	3	0	0
3457	3	0	3	0	0
3551	3	0	3	0	0
3598	3	0	3	0	0
3757	3	0	3	0	0
3865	3	0	3	0	0
3959	3	0	3	0	0
4052	4	0	4	0	0
4099	4	0	4	0	0
4192	4	0	4	0	0
4285	4	0	4	0	0
4380	4	0	4	0	0
4460	4	0	4	0	0
4554	4	0	4	0	0
4694	4	0	4	0	0
4788	4	0	4	0	0
4883	4	0	4	0	0
4977	4	0	4	0	0
5086	5	0	5	0	0
5179	5	0	5	0	0
5274	5	0	5	0	0
5367	5	0	5	0	0
5460	5	0	5	0	0
5570	5	0	5	0	0
5664	5	0	5	0	0
5758	5	0	5	0	0
5870	5	0	5	0	0
5964	5	0	5	0	0
6058	6	0	6	0	0
6153	6	0	6	0	0
6278	6	0	6	0	0
6371	6	0	6	0	0
6464	6	0	6	0	0
6558	6	0	6	0	0
6654	6	0	6	0	0
6793	6	0	6	0	0
6856	6	0	6	0	0
6951	6	0	6	0	0
6998	6	0	7	0	0
7057	7	0	7	0	0
7156	7	0	7	0	0
7297	7	0	7	0	0
7392	7	0	7	0	0
7454	7	0	7	0	0
7595	7	0	7	0	0
7685	7	0	7	0	0
7794	7	0	7	0	0
7858	7	0	7	0	0
8054	8	0	8	0	0
8164	8	0	8	0	0
8273	8	0	8	0	0
8368	8	0	8	0	0
8467	8	0	8	0	0
8576	8	0	8	0	0
8670	8	0	8	0	0
8765	8	0	8	0	0
8874	8	0	8	0	0
8992	8	0	8	0	0
9086	9	0	9	0	0
9180	9	0	9	0	0
9276	9	0	9	0	0
9370	9	0	9	0	0
9463	9	0	9	0	0
9557	9	0	9	0	0
9651	9	0	9	0	0
9760	9	0	9	0	0
9869	9	0	9	0	0
9963	9	0	9	0	0
10057	10	0	10	0	0
